addition	जोड
damaru	 डमरु
date (Nepali)	मिति 
day after tomorrow	 पर्सी
day	दिन
days	दिनहरू
delivery	ढुवानी
end	समाप्त
engine	 इन्जिन
english calendar	तारीख
evening	बेलुकी
excavator	 डोजर
express	 एक्सप्रेस
extra time	अतिरिक्त समय
Falgun	फागुन
fast	चाँडो, चाँडै
fax	फ्याक्स
firetruck	 दमकल
flute	 बाँसुरी
football	फुटबल, भकुन्डो
friday	 शुक्रबार
guitar	गितार
half (hour)	साढे, आधा
half past	साढे, आधा
harmonium	 हार्मोनियम
helicopter	हेलिकप्टर
hour	 घण्टा
immediately	तुरुन्तै
information	सूचना
intermission	 मध्यान्तर
javelin throw	ज्याभलिन थ्रो, भाला फेंक
Jestha	जेठ
kabaddi	कबड्डी
karate	कराँते
Kartik	कार्तिक
kite spool	लट्टाई
kite	चङ्गा 
laptop	ल्यापटप 
late	ढिलो 
madal	मादल
Magh	माघ
Mansir	मंसिर
medal	 तक्मा
minibus	मिनीबस 
minute	मिनेट
mobile phone	मोबाइल
moment	एकैछिन
monday	सोमबार
month	महिना 
monthly	मासिक
morning	बिहान 
motorbike	 मोटरसाइकल
musical instrument	बाजा
necessary	जरुरी
noon (p.m.)	अपरान्ह
now	अहिल
nowadays	आजभोली
olympic	ओलम्पिक
on (date)	गते
past	पहिले
Pathao	पठाओ
photocopy	फोटोकपी 
Poush	पुष 
printer	प्रिन्टर 
quarter past	सवा
quarter to	पौने
radio	रेडियो
respectively	क्रमशः
rocket	रकेट
Saturday	शनिबार 
scooter	स्कूटर
second	सेकेन्ड 
semiannual	अर्धवार्षिक
Shrawan	साउन
slowly	बिस्तारै
sports	खेलकुद 
sunday	 आइतबार
swing	 पिङ
tab	ट्याब 
table tennis	टेबुल टेनिस
telephone	टेलिफोन
television	टेलिभिजन 
Thursday	बिहीबार
tiger's move	बाघ-चाल
time	समय
today	आज
tomorrow	 भोली
train	 रेल
transportation	यातायात
trimonthly	मासिक 
truck	 ट्रक
Tuesday	मंगलबार
tug of war	डोरी तान
volleyball	भलिबल
volunteer	स्वयंसेवक
watch	 घडी
Wednesday	बुधबार
week	हप्ता
weekly	  साप्ताहिक 
whole day	दिनभरी 
whole night	रातभरी
world cup	विश्वकप
year	वर्ष
yesterday	हिजो	
